range,Precipitation,Hazen frequency,Parametre de  gumbel(u)
183,0.0,0.0043201401382444845,-1.6945999440429254
184,0.0,0.004343812139001989,-1.693595761601137
185,0.0,0.004367484139759493,-1.6925960355210328
186,0.0,0.004391156140516997,-1.6916007210403563
187,0.0,0.004414828141274501,-1.6906097740869628
188,0.0,0.004438500142032005,-1.6896231512645241
189,0.0,0.004462172142789509,-1.688640809838606
190,0.0,0.004485844143547013,-1.6876627077231032
191,0.0,0.004509516144304517,-1.6866888034670238
192,0.0,0.004533188145062021,-1.6857190562416098
193,0.0,0.004556860145819524,-1.6847534258277872
194,0.0,0.004580532146577028,-1.6837918726039303
195,0.0,0.004604204147334532,-1.6828343575339353
196,0.0,0.004627876148092036,-1.6818808421555926
197,0.0,0.0046515481488495405,-1.6809312885692462
198,0.0,0.0046752201496070445,-1.6799856594267368
199,0.0,0.004698892150364549,-1.6790439179206147
200,0.0,0.004722564151122053,-1.678106027773619
201,0.0,0.004746236151879557,-1.6771719532284113
202,0.0,0.004769908152637061,-1.6762416590375602
203,0.0,0.004793580153394565,-1.675315110453767
204,0.0,0.004817252154152069,-1.6743922732203256
205,0.0,0.004840924154909573,-1.6734731135618117
206,0.0,0.004864596155667077,-1.672557598174992
207,0.0,0.004888268156424581,-1.6716456942199496
208,0.0,0.004911940157182085,-1.6707373693114183
209,0.0,0.004935612157939589,-1.6698325915103196
210,0.0,0.004959284158697093,-1.668931329315497
211,0.0,0.004982956159454597,-1.668033551655644
212,0.0,0.005006628160212101,-1.6671392278814157
213,0.0,0.005030300160969605,-1.666248327757724
214,0.0,0.0050539721617271095,-1.665360821456209
215,0.0,0.0050776441624846135,-1.6644766795478805
216,0.0,0.005101316163242118,-1.6635958729959277
217,0.0,0.005124988163999622,-1.6627183731486908
218,0.0,0.005148660164757126,-1.6618441517327909
219,0.0,0.005172332165514629,-1.6609731808464119
220,0.0,0.005196004166272133,-1.660105432952735
221,0.0,0.005219676167029637,-1.6592408808735146
222,0.0,0.005243348167787141,-1.6583794977828004
223,0.0,0.005267020168544645,-1.6575212572007931
224,0.0,0.005290692169302149,-1.6566661329878385
225,0.0,0.005314364170059653,-1.655814099338548
226,0.0,0.005338036170817157,-1.6549651307760505
227,0.0,0.005361708171574661,-1.654119202146365
228,0.0,0.005385380172332165,-1.6532762886128973
229,0.0,0.0054090521730896695,-1.652436365651051
230,0.0,0.0054327241738471735,-1.651599409042955
231,0.0,0.005456396174604678,-1.6507653948723036
232,0.0,0.005480068175362182,-1.6499342995193025
233,0.0,0.005503740176119686,-1.6491060996557247
234,0.0,0.00552741217687719,-1.6482807722400679
235,0.0,0.005551084177634694,-1.6474582945128107
236,0.0,0.005574756178392198,-1.6466386439917722
237,0.0,0.005598428179149702,-1.6458217984675625
238,0.0,0.005622100179907206,-1.64500773599913
239,0.0,0.00564577218066471,-1.6441964349093978
240,0.0,0.005669444181422214,-1.643387873780991
241,0.0,0.005693116182179718,-1.642582031452049
242,0.0,0.005716788182937222,-1.6417788870121235
243,0.0,0.005740460183694726,-1.640978419798159
244,0.0,0.00576413218445223,-1.6401806093905529
245,0.0,0.0057878041852097335,-1.6393854356092972
246,0.0,0.005811476185967238,-1.638592878510192
247,0.0,0.005835148186724742,-1.6378029183811396
248,0.0,0.005858820187482246,-1.6370155357385074
249,0.0,0.00588249218823975,-1.6362307113235646
250,0.0,0.005906164188997254,-1.635448426098987
251,0.0,0.005929836189754758,-1.6346686612454322
252,0.0,0.005953508190512262,-1.6338913981581795
253,0.0,0.005977180191269766,-1.6331166184438337
254,0.0,0.00600085219202727,-1.6323443039170966
255,0.0,0.006024524192784774,-1.6315744365975955
256,0.0,0.006048196193542278,-1.630806998706775
257,0.0,0.006071868194299782,-1.630041972664849
258,0.0,0.006095540195057286,-1.6292793410878064
259,0.0,0.00611921219581479,-1.6285190867844779
260,0.0,0.006142884196572294,-1.6277611927536555
261,0.0,0.0061665561973297985,-1.627005642181266
262,0.0,0.0061902281980873025,-1.6262524184375988
263,0.0,0.006213900198844807,-1.6255015050745825
264,0.0,0.006237572199602311,-1.6247528858231155
265,0.0,0.006261244200359815,-1.6240065445904424
266,0.0,0.006284916201117319,-1.6232624654575818
267,0.0,0.006308588201874823,-1.6225206326767982
268,0.0,0.006332260202632327,-1.621781030669123
269,0.0,0.006355932203389831,-1.621043644021917
270,0.0,0.006379604204147334,-1.620308457486481
271,0.0,0.006403276204904838,-1.619575455975707
272,0.0,0.006426948205662342,-1.6188446245617716
273,0.0,0.006450620206419846,-1.6181159484738725
274,0.0,0.00647429220717735,-1.617389413096003
275,0.0,0.006497964207934854,-1.616665003964768
276,0.0,0.0065216362086923585,-1.6159427067672385
277,0.0,0.0065453082094498625,-1.6152225073388418
278,0.0,0.006568980210207367,-1.614504391661292
279,0.0,0.006592652210964871,-1.6137883458605549
280,0.0,0.006616324211722375,-1.6130743562048477
281,0.0,0.006639996212479879,-1.612362409102677
282,0.0,0.006663668213237383,-1.6116524911009047
283,0.0,0.006687340213994887,-1.6109445888828544
284,0.0,0.006711012214752391,-1.610238689266445
285,0.0,0.006734684215509895,-1.6095347792023593
286,0.0,0.006758356216267399,-1.6088328457722418
287,0.0,0.006782028217024903,-1.6081328761869293
288,0.0,0.006805700217782407,-1.6074348577847097
289,0.0,0.006829372218539911,-1.6067387780296114
290,0.0,0.006853044219297415,-1.6060446245097215
291,0.0,0.006876716220054919,-1.6053523849355311
292,0.0,0.006900388220812423,-1.6046620471383097
293,0.0,0.0069240602215699274,-1.6039735990685065
294,0.0,0.0069477322223274315,-1.603287028794176
295,0.0,0.0069714042230849356,-1.6026023244994343
296,0.0,0.006995076223842439,-1.6019194744829361
297,0.0,0.007018748224599943,-1.6012384671563797
298,0.0,0.007042420225357447,-1.6005592910430353
299,0.0,0.007066092226114951,-1.5998819347762978
300,0.0,0.007089764226872455,-1.5992063870982631
301,0.0,0.007113436227629959,-1.5985326368583277
302,0.0,0.007137108228387463,-1.5978606730118097
303,0.0,0.007160780229144967,-1.5971904846185947
304,0.0,0.007184452229902471,-1.5965220608418005
305,0.0,0.007208124230659975,-1.5958553909464646
306,0.0,0.007231796231417479,-1.5951904642982533
307,0.0,0.007255468232174983,-1.5945272703621904
308,0.0,0.0072791402329324875,-1.5938657987014055
309,0.0,0.0073028122336899915,-1.5932060389759042
310,0.0,0.007326484234447496,-1.5925479809413547
311,0.0,0.007350156235205,-1.5918916144478967
312,0.0,0.007373828235962504,-1.591236929438966
313,0.0,0.007397500236720008,-1.5905839159501405
314,0.0,0.007421172237477512,-1.5899325641080002
315,0.0,0.007444844238235016,-1.5892828641290089
316,0.0,0.00746851623899252,-1.5886348063184108
317,0.0,0.007492188239750024,-1.5879883810691449
318,0.0,0.007515860240507528,-1.5873435788607753
319,0.0,0.007539532241265032,-1.5867003902584391
320,0.0,0.007563204242022536,-1.5860588059118101
321,0.0,0.007586876242780039,-1.5854188165540763
322,0.0,0.007610548243537543,-1.5847804130009364
323,0.0,0.0076342202442950475,-1.5841435861496083
324,0.0,0.0076578922450525515,-1.583508326977854
325,0.0,0.007681564245810056,-1.5828746265430198
326,0.0,0.00770523624656756,-1.5822424759810891
327,0.0,0.007728908247325064,-1.5816118665057508
328,0.0,0.007752580248082568,-1.5809827894074806
329,0.0,0.007776252248840072,-1.5803552360526374
330,0.0,0.007799924249597576,-1.5797291978825705
331,0.0,0.00782359625035508,-1.5791046664127433
332,0.0,0.007847268251112585,-1.5784816332318667
333,0.0,0.007870940251870089,-1.5778600900010475
334,0.0,0.007894612252627591,-1.5772400284529484
335,0.0,0.007918284253385095,-1.576621440390959
336,0.0,0.0079419562541426,-1.5760043176883825
337,0.0,0.007965628254900103,-1.5753886522876288
338,0.0,0.007989300255657607,-1.5747744361994247
339,0.0,0.008012972256415112,-1.574161661502032
340,0.0,0.008036644257172616,-1.5735503203404773
341,0.0,0.00806031625793012,-1.5729404049257942
342,0.0,0.008083988258687624,-1.5723319075342757
343,0.0,0.008107660259445128,-1.5717248205067356
344,0.0,0.008131332260202632,-1.571119136247783
345,0.0,0.008155004260960136,-1.570514847225106
346,0.0,0.00817867626171764,-1.5699119459687643
347,0.0,0.008202348262475144,-1.5693104250704937
348,0.0,0.008226020263232648,-1.568710277183019
349,0.0,0.008249692263990152,-1.5681114950193777
350,0.0,0.008273364264747656,-1.567514071352251
351,0.0,0.00829703626550516,-1.5669179990133075
352,0.0,0.008320708266262664,-1.566323270892552
353,0.0,0.008344380267020168,-1.5657298799376869
354,0.0,0.008368052267777672,-1.5651378191534797
355,0.0,0.008391724268535176,-1.564547081601141
356,0.0,0.00841539626929268,-1.5639576603977106
357,0.0,0.008439068270050185,-1.5633695487154506
358,0.0,0.008462740270807689,-1.5627827397812488
